"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"749","10","0.49","428","417"
"747","10","0.36","693","746"
"762","1","0.85","0","8504"
"751","10","0.11","863","913"
"755","10","0.63","240","229"
"756","10","0.73","40","40"
"752","10","0.08","750","773"
"753","10","0.1","831","843"
"754","10","0.05","540","536"
"758","10","0.55","213","207"
"770","1","0.81","0","8154"
"759","10","0.15","926","947"
"761","10","0.57","243","247"
"760","10","0.16","835","900"
"775","1","0.89","0","8877"
"776","1","0.98","0","9812"
"766","10","0.41","581","617"
"765","10","0.74","3","3"
"764","10","0.17","811","840"
"767","10","0.21","1017","1060"
"768","10","0.45","448","458"
"763","10","0.57","310","299"
"782","1","0.91","0","9085"
"769","10","0.26","821","879"
"784","1","0.98","0","9772"
"773","10","0.35","825","875"
"774","10","0.63","214","214"
"783","2","0.78","0","2"
"788","0","0","0","0"
"787","1","0.97","0","9666"
"786","2","0.79","0","5"
"771","10","0.2","868","942"
"791","1","0.94","0","9449"
"790","3","0.83","0","2"
"793","1","0.91","0","9118"
"779","10","0.24","876","919"
"777","10","0.06","690","699"
"778","10","0.21","930","948"
"772","10","0.06","697","677"
"780","10","0.55","225","245"
"798","1","1","0","10005"
"781","10","0.51","387","425"
"802","1","0.9","0","8986"
"785","10","0.75","3","3"
"792","10","0.33","1005","1004"
"794","10","0.22","988","1010"
"795","10","0.68","63","65"
"806","1","0.89","0","8925"
"789","10","0.18","912","937"
"797","10","0.02","206","157"
"799","10","0.7","93","95"
"796","10","0.56","244","244"
"803","10","0.18","905","923"
"801","10","0.56","220","212"
"804","10","0.6","204","198"
"815","1","0.94","0","9372"
"800","10","0.06","669","649"
"805","10","0.51","305","297"
"807","10","0.01","40","28"
"811","10","0.78","28","28"
"812","10","0.29","853","857"
"810","10","0.45","598","619"
"808","10","0.32","823","875"
"809","10","0.41","587","605"
"814","10","0.04","638","556"
"816","10","0.25","872","892"
"813","10","0.02","84","71"
"817","10","0.04","405","385"
"820","10","0.55","275","285"
"818","10","0.37","661","673"
"819","10","0.09","708","756"
"821","10","0.03","420","333"
"822","10","0.72","31","31"
"824","10","0.11","861","912"
"826","10","0.3","854","892"
"825","10","0.47","390","423"
"835","1","0.94","0","9433"
"837","1","0.99","0","9910"
"823","10","0.4","630","653"
"827","10","0.12","814","889"
"828","10","0.05","649","591"
"829","10","0.73","59","59"
"841","2","0.79","0","1"
"830","10","0.47","461","430"
"845","1","0.91","0","9102"
"833","10","0.51","349","355"
"832","10","0.5","377","364"
"846","1","0.8","0","8079"
"834","10","0.25","843","883"
"831","10","0.5","362","376"
"836","10","0.17","889","986"
"838","10","0.67","46","46"
"839","10","0.29","940","986"
"851","1","0.99","0","9901"
"840","10","0.48","401","383"
"843","10","0.62","266","270"
"844","10","0.53","386","425"
"847","10","0.16","856","959"
"842","10","0.35","718","736"
"849","10","0.15","907","977"
"850","10","0.57","181","179"
"848","10","0.4","594","619"
"862","1","0.86","0","8603"
"853","10","0.58","285","307"
"852","10","0.43","571","573"
"854","10","0.56","251","275"
"867","1","0.97","0","9727"
"855","10","0.57","221","228"
"857","10","0.49","373","385"
"858","10","0.67","77","75"
"859","10","0.37","607","673"
"861","10","0.73","34","34"
"856","10","0.56","184","187"
"872","1","0.85","0","8506"
"870","2","0.84","0","1"
"873","1","0.94","0","9442"
"860","10","0.38","554","581"
"866","10","0.75","3","3"
"865","10","0.22","802","902"
"864","10","0.67","100","101"
"877","1","0.87","0","8733"
"863","10","0.41","560","606"
"868","10","0.29","868","918"
"871","10","0.43","550","541"
"875","10","0.1","844","914"
"869","10","0.51","424","436"
"876","10","0.35","651","684"
"882","10","0.62","196","197"
"879","10","0.3","804","866"
"880","10","0.18","877","887"
"881","10","0.54","321","349"
"874","10","0.09","840","845"
"878","10","0.03","223","191"
"883","10","0.23","905","929"
"884","10","0.35","749","773"
"893","1","0.99","0","9921"
"886","10","0.22","837","910"
"885","10","0.22","833","882"
"890","10","0.73","3","3"
"889","10","0.28","780","816"
"899","1","0.92","0","9232"
"891","10","0.31","835","862"
"888","10","0.55","266","280"
"892","10","0.28","922","937"
"887","10","0.35","664","707"
"896","10","0.29","801","820"
"902","1","0.98","0","9824"
"894","10","0.09","750","791"
"895","10","0.79","28","28"
"907","1","0.86","0","8625"
"909","1","0.94","0","9375"
"897","10","0.08","729","763"
"913","1","0.84","0","8373"
"898","10","0.46","484","501"
"901","10","0.56","198","195"
"900","10","0.2","883","895"
"905","10","0.35","661","705"
"903","10","0.37","684","739"
"917","1","0.89","0","8877"
"904","10","0.27","809","837"
"906","10","0.64","177","178"
"908","10","0.72","31","31"
"911","10","0.67","86","85"
"912","10","0.2","863","917"
"910","10","0.5","280","299"
"915","10","0.65","129","129"
"916","10","0.31","923","990"
"918","10","0.73","31","31"
"914","10","0.7","121","121"
"920","10","0.39","635","633"
"919","10","0.41","566","592"
"921","10","0.78","3","3"
"933","1","0.98","0","9819"
"924","10","0.79","3","3"
"922","10","0.58","236","215"
"923","10","0.13","900","932"
"936","1","0.99","0","9893"
"926","10","0.73","112","112"
"925","10","0.14","880","953"
"927","10","0.4","610","629"
"941","1","0.91","0","9098"
"928","10","0.41","593","618"
"929","10","0.02","214","172"
"931","10","0.63","118","125"
"930","10","0.66","122","129"
"932","10","0.45","523","537"
"935","10","0.64","146","131"
"934","10","0.61","283","286"
